Ticker,ISIN,ETF Name,Category,Type,Domicile,Date Oldest,Date Newest,Years Covered,Data per Year,Avg Volume (M EUR)
3BAL.MI,IE00BLS09N40,Wisdomtree Euro Stoxx Banks 3X Daily Lev,,Exchange-Traded Note,,2014-12-12,2023-09-28,8.793976728268309,254.15122976338733,29.45940985581624
3BAS.MI,XS2637076568,WisdomTree EURO STOXX Banks 3x Daily Short ETN,,Exchange-Traded Note,,2023-08-21,2023-11-09,0.2190280629705681,241.978125,1.2604861854132074
WTEEI.MI,IE00BQZJBX31,WisdomTree Europe Equity Income UCITS ETF,Equity Europe Income,Equity ETF,Ireland,2015-01-21,2023-11-10,8.802190280629706,201.42713841368584,0.3932994221837226
EEIA.MI,IE00BDF16007,WisdomTree Europe Equity Income UCITS ETF Acc,Equity Europe Income,Equity ETF,Ireland,2017-01-06,2023-11-08,6.836413415468857,43.00500600720865,0.4024120824714103
HEDF.MI,IE00BYQCZX56,WisdomTree Europe Equity UCITS ETF EUR Acc,Equity EuroZone,Equity ETF,Ireland,2015-11-09,2023-11-08,7.997262149212868,92.15653885655597,0.6268440536253552
HEDJ.MI,IE00BVXBH163,WisdomTree Europe Equity UCITS ETF USD Hdg,Equity EuroZone,Equity ETF,Ireland,2015-05-22,2023-11-09,8.46817248459959,127.1821047526673,0.6045739300399176
DFE.MI,IE00BQZJC527,WisdomTree Europe Small Cap Dividend UCITS ETF,Equity Europe Sm&Mid Cap,Equity ETF,Ireland,2015-01-20,2023-11-09,8.802190280629706,209.0388802488336,0.6061961921429408
DFEA.MI,IE00BDF16114,WisdomTree Europe Small Cap Dividend UCITS ETF Acc,Equity Europe Sm&Mid Cap,Equity ETF,Ireland,2017-01-06,2023-10-30,6.811772758384668,50.207194533762056,0.24969111516993042
EGRA.MI,IE00BZ56TQ67,WisdomTree Eurozone Qual Div Gro UCITS ETF EUR Acc,Equity EuroZone,Equity ETF,Ireland,2016-07-21,2023-11-10,7.304585900068446,221.5046851574213,0.9781318919376905
3ITL.MI,IE00B8NB3063,Wisdomtree Ftse Mib 3X Daily Leveraged,,Exchange-Traded Note,,2013-11-07,2023-09-28,9.88911704312115,254.01661129568106,297.3789516395812
3ITS.MI,IE00B873CW36,Wisdomtree Ftse Mib 3X Daily Short,,Exchange-Traded Note,,2013-11-04,2023-09-28,9.897330595482547,254.10892116182572,40.36591018383845
ITBL.MI,IE00BYMB4Q22,Wisdomtree Ftse Mib Banks,,Exchange-Traded Note,,2016-11-28,2023-09-28,6.830937713894593,252.08837675350702,35.58950335218002
WMIB.MI,XS2427354985,WisdomTree FTSE MIB ETN,,Exchange-Traded Note,,2022-03-04,2023-09-28,1.568788501026694,150.434554973822,1.1596867115938556
UGAS.MI,GB00B15KXW40,WisdomTree Gasoline ETC,Unclassified,Exchange-Traded Commodity,,2007-04-23,2023-11-10,16.550308008213552,234.5575682382134,1.6869192988465624
WCAR.MI,IE000TB3YTV4,WisdomTree Gl Automotive Innvtrs UCITS ETF USD Acc,Equity Sector Consumer Discretionary,Equity ETF,Ireland,2022-10-17,2023-11-02,1.0431211498973305,60.395669291338585,0.17224697855555562
GGRE.MI,IE0007M3MLF3,WisdomTree Global Qual Div Gro UCITS ETF EURH Acc,,Equity ETF,,2023-05-09,2023-09-25,0.3805612594113621,94.59712230215827,0.1945088270536667
GGRA.MI,IE00BZ56SW52,WisdomTree Global Qual Div Gro UCITS ETF USD Acc,Equity Global,Equity ETF,Ireland,2016-07-11,2023-11-10,7.3319644079397674,206.62948095593725,4.7470665743861895
3GOL.MI,IE00B8HGT870,Wisdomtree Gold 3X Daily Leveraged,,Exchange-Traded Note,,2013-12-12,2023-11-10,9.911019849418206,254.06063535911602,14.593499368539389
3GOS.MI,IE00B6X4BP29,Wisdomtree Gold 3X Daily Short,,Exchange-Traded Commodity,,2013-12-20,2023-11-10,9.88911704312115,252.49979235880397,14.560059639057862
SBUL.MI,JE00B24DKC09,Wisdomtree Gold Daily Short ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,241.5864893012687,3.127962391400205
GRNS.MI,GB00B15KYL00,WisdomTree Grains ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-08,16.553045859000683,226.8464687396626,0.22028805723917266
META.MI,IE00BF4TWC33,Wisdomtree Industrial Metals Enhanced,,Exchange-Traded Commodity,,2019-03-01,2023-11-09,4.692676249144422,111.02406651108517,1.0368399747060748
AIGI.MI,GB00B15KYG56,WisdomTree Industrial Metals ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,251.65290178571428,2.655452931303594
SIMT.MI,JE00B24DKZ36,Wisdomtree Industrial Metals ETC,,Exchange-Traded Commodity,,2012-01-04,2023-11-10,11.849418206707734,159.07954020332718,1.6688320577141047
DXJF.MI,IE00BYQCZJ13,WisdomTree Japan Equity UCITS ETF EUR Hedged Acc,Equity Japan,Equity ETF,Ireland,2015-11-12,2023-09-28,7.876796714579055,146.76016684045882,1.0455205329947954
DXJZ.MI,IE00BYQCZN58,WisdomTree Japan Equity UCITS ETF JPY Acc,Equity Japan,Equity ETF,Ireland,2016-02-26,2023-11-10,7.704312114989733,88.78144989339019,1.1569759967865514
DXJ.MI,IE00BVXC4854,WisdomTree Japan Equity UCITS ETF USD Hedged,Equity Japan,Equity ETF,Ireland,2015-05-26,2023-11-10,8.459958932238193,136.64368932038835,0.8982415421287829
LEAD.MI,JE00B2QY0436,Wisdomtree Lead ETC,,Exchange-Traded Commodity,,2012-01-04,2023-11-10,11.849418206707734,196.5497342883549,0.33225185078812813
HOGS.MI,GB00B15KXZ70,Wisdomtree Lean Hogs ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-08,16.553045859000683,243.76178465100895,0.027207356123103026
AIGL.MI,GB00B15KYK92,Wisdomtree Livestock ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-10-23,16.50924024640657,191.65024875621893,0.06044050411089121
QQQ3.MI,IE00BLRPRL42,Wisdomtree Nasdaq 100 3X Daily Leveraged,,Exchange-Traded Note,,2014-02-28,2023-09-28,9.579739904175222,254.0778793941126,218.98297480606607
QQQS.MI,IE00BLRPRJ20,Wisdomtree Nasdaq 100 3X Daily Short,,Exchange-Traded Note,,2014-02-25,2023-09-28,9.587953456536619,254.38171045117076,684.2651787085164
SNGA.MI,JE00B24DKH53,WisdomTree Natural Gas 1X Daily Short ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,248.08781480780155,91.9246588588882
3NGL.MI,IE00BLRPRG98,Wisdomtree Natural Gas 3X Daily Leverage,,Exchange-Traded Commodity,Ireland,2013-11-04,2023-09-28,9.897330595482547,254.10892116182572,523462.9497946238
3NGS.MI,IE00B76BRD76,Wisdomtree Natural Gas 3X Daily Short,,Exchange-Traded Commodity,Ireland,2013-11-04,2023-09-28,9.897330595482547,254.10892116182572,613327.5359356578
NGAS.MI,GB00B15KY104,WisdomTree Natural Gas ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,254.12896825396825,0.22218880365083937
LNGA.MI,JE00BDD9Q956,Wisdomtree Natural Gas Leverage ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,254.51997727703088,8621.195488806881
WTRE.MI,IE000MO2MB07,WisdomTree New Economy Real Est UCITS ETF USD Acc,Equity Sector Real Est Global,Equity ETF,Ireland,2022-02-11,2023-11-01,1.7193702943189597,66.30334394904459,0.13035285415225437
WNER.MI,IE000X9TLGN8,WisdomTree New Economy Real Estate UCITS ETF USD,Equity Sector Real Est Global,Equity ETF,Ireland,2022-02-11,2023-10-16,1.675564681724846,31.034313725490197,0.07960803262476925
SNIK.MI,JE00B24DKJ77,Wisdomtree Nickel Daily ETC,,Exchange-Traded Commodity,,2012-01-04,2023-11-10,11.849418206707734,189.88274029574862,0.6304547749549587
LNIK.MI,JE00BDD9QB77,Wisdomtree Nickel Leveraged ETC,Unclassified,Exchange-Traded Commodity,,2012-01-05,2023-11-10,11.846680355920602,247.83314074416455,10.08045183216271
1PAS.MI,IE00B94QLR02,Wisdomtree Palladium 1X Daily Short,,Exchange-Traded Commodity,,2014-08-04,2023-11-10,9.267624914442163,234.68796159527326,1.414161996320633
2PAL.MI,IE00B94QLN63,Wisdomtree Palladium 2X Daily Leveraged,,Exchange-Traded Commodity,,2014-07-28,2023-11-10,9.286789869952088,249.27881780660377,20.229150158723595
LPET.MI,JE00BDD9Q733,Wisdomtree Petroleum Leveraged ETC,,Exchange-Traded Commodity,,2012-01-11,2023-11-10,11.83025325119781,231.35599398287434,2.731211432348965
PHAU.MI,JE00B1VS3770,WisdomTree Physical Gold Individual Securities ETC,,Exchange-Traded Commodity,,2007-06-26,2023-09-28,16.257357973990416,254.10032839339848,439.846128995542
PHPD.MI,JE00B1VS3002,WisdomTree Physical Palladium ETC,Unclassified,Exchange-Traded Commodity,,2007-06-22,2023-11-10,16.386036960985628,253.81365914786966,25.685965165231917
PHPT.MI,JE00B1VS2W53,WisdomTree Physical Platinum ETC,Unclassified,Exchange-Traded Commodity,,2007-06-21,2023-11-10,16.38877481177276,253.7712579351821,29.12199851256063
PHPM.MI,JE00B1VS3W29,WisdomTree Physical Precious Metals ETC,Unclassified,Exchange-Traded Commodity,,2007-06-21,2023-11-09,16.386036960985628,248.0160401002506,8.170023072018763
PHAG.MI,JE00B1VS3333,WisdomTree Physical Silver Individual Securities ETC,Unclassified,Exchange-Traded Commodity,,2007-07-04,2023-11-10,16.35318275154004,254.14013058764442,17.887205306781915
SGBS.MI,JE00B588CD74,WisdomTree Physical Swiss Gold ETC,,Exchange-Traded Commodity,,2012-05-14,2023-11-10,11.490759753593428,253.76912080057187,48.482501938307486
LPLA.MI,JE00B2NFV134,Wisdomtree Platinum Leveraged ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,254.31248816512024,0.7743058822213954
AIGP.MI,GB00B15KYF40,Wisdomtree Precious Metals ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,226.7110615079365,2.571709907358797
WRCY.MI,IE000LG4J7E7,WisdomTree Recycling Dcrbnstn UCITS ETF USD Acc,Equity Theme - Alternative Energy,Equity ETF,Ireland,2022-04-29,2023-11-10,1.5331964407939767,108.27053571428571,0.37042844550396387
WRNW.MI,IE000P3D0W60,WisdomTree Renewable Energy UCITS ETF USD Acc,,Equity ETF,Ireland,2023-06-19,2023-11-08,0.3887748117727584,79.73767605633802,0.15118876069667742
3USL.MI,IE00B7Y34M31,Wisdomtree S&P 500 3X Daily Leveraged,,Exchange-Traded Note,,2014-02-28,2023-09-28,9.579739904175222,253.76471849099744,69.53110941830428
3USS.MI,IE00B8K7KM88,Wisdomtree S&P 500 3X Daily Short,,Exchange-Traded Note,,2014-02-27,2023-09-28,9.582477754962355,254.31835714285714,537.3987782965689
WSPX.MI,XS2427355958,WisdomTree S&P 500 ETN,,Exchange-Traded Note,,2022-03-07,2023-09-28,1.5605749486652978,240.29605263157893,1.2254653227398
VIXL.MI,IE00BLRPRH06,Wisdomtree S&P 500 Vix Short-Term Future,,Exchange-Traded Note,,2016-03-17,2023-09-28,7.531827515400411,254.65267175572518,18345.985426404925
SOIL.MI,JE00B24DK975,Wisdomtree Short WTI Crude Oil ETC,Commodity Blended,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,254.03583601590609,34.18166236021881
LSIL.MI,JE00B2NFTS64,WisdomTree Silver 2X Daily Leveraged ETC,,Exchange-Traded Commodity,,2009-05-26,2023-11-10,14.458590006844627,254.51997727703088,30.282840231750463
3SIL.MI,IE00B7XD2195,Wisdomtree Silver 3X Daily Leveraged,,Exchange-Traded Commodity,,2013-11-29,2023-09-28,9.828884325804244,253.94540389972144,123.75474945290085
3SIS.MI,IE00B8JG1787,Wisdomtree Silver 3X Daily Short,,Exchange-Traded Note,,2013-11-29,2023-11-10,9.946611909650924,251.6434764657308,16.729293159951524
AIGS.MI,GB00B15KYJ87,Wisdomtree Softs ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-06,16.54757015742642,199.06245863666445,0.1896831527655826
SOYB.MI,GB00B15KY542,WisdomTree Soybeans ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,247.1235119047619,1.4995448264470035
2CAR.MI,XS2427363895,WisdomTree STOXX Europe Automobiles 2x Daily Leveraged ETN,,Exchange-Traded Note,,2022-03-03,2023-11-02,1.6673511293634498,37.78448275862069,0.1489005289872857
2OIG.MI,XS2427474023,WisdomTree STOXX Europe Oil & Gas 2x Daily Short ETN,,Exchange-Traded Note,,2022-03-10,2023-11-09,1.6673511293634498,32.38669950738916,0.062186904293796294
2TRV.MI,XS2427363036,WisdomTree STOXX Europe Travel & Leisure 2x Daily Leveraged ETN,,Exchange-Traded Note,,2022-03-16,2023-10-11,1.571526351813826,46.45165505226481,0.09235026551693151
2STR.MI,XS2437455608,WisdomTree STOXX Europe Travel & Leisure 2x Daily Short ETN,,Exchange-Traded Note,,2022-04-05,2023-11-06,1.5879534565366187,23.30043103448276,0.12014863233308108
LSUG.MI,JE00B2NFTW01,WisdomTree Sugar 2X Daily Leveraged ETC,,Exchange-Traded Commodity,,2012-01-12,2023-11-10,11.827515400410677,247.2201388888889,1.2070724319044448
SUGA.MI,GB00B15KY658,Wisdomtree Sugar ETC,Unclassified,Exchange-Traded Commodity,,2007-04-20,2023-11-10,16.55852156057495,253.88740079365078,2.4423042235442867
TINM.MI,JE00B2QY0H68,Wisdomtree Tin ETC,,Exchange-Traded Commodity,,2012-01-04,2023-11-09,11.846680355920602,188.99809336722902,1.4727852260401555
